record_id,employee_id,event_id,date,due_date,status,completion_pct,score,feedback_rating,assigned_by,employee_role,employee_grade,employee_work_format,employee_preferred_language,employee_hire_date,event_type,event_format,duration_hours,mandatory,tenure_days_at_activity,attempt_number,prior_same_event_attempts,employee_prior_outcomes,employee_completion_rate_before,employee_dropped_rate_before,employee_no_show_rate_before,employee_declined_rate_before,employee_format_prior_outcomes,employee_format_completion_rate_before,employee_type_prior_outcomes,employee_type_completion_rate_before,event_prior_outcomes,event_completion_rate_before,is_first_employee_activity,days_since_previous_activity,outcome_class,completed_label
R000001,E0018,EV_035,2024-10-01,,completed,100,61.0,5.0,manager,Customer Support Specialist,Junior,remote,en,2024-03-26,course,online,16,False,189,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000002,E0054,EV_036,2024-10-01,,declined,0,,,manager,Data Analyst,Senior,hybrid,kk,2022-11-30,meetup,offline,2,False,671,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,declined,0
R000003,E0063,EV_037,2024-10-02,,dropped,45,,3.0,self,QA Engineer,Lead,office,kk,2023-08-29,mentoring,online,12,False,400,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,dropped,0
R000004,E0003,EV_039,2024-10-03,,completed,100,,4.0,self,Customer Support Specialist,Senior,hybrid,kk,2019-09-16,workshop,online,3,False,1844,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000005,E0060,EV_032,2024-10-03,,completed,100,,3.0,self,Product Manager,Lead,office,kk,2021-10-18,workshop,offline,8,False,1081,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000006,E0107,EV_027,2024-10-03,,completed,100,,,self,Product Manager,Middle,office,ru,2022-04-25,workshop,online,6,False,892,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000007,E0007,EV_007,2024-10-04,,completed,100,,5.0,manager,Backend Engineer,Senior,office,kk,2018-10-26,mentoring,online,8,False,2170,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000008,E0073,EV_038,2024-10-04,,completed,100,75.0,,manager,Data Analyst,Senior,office,ru,2022-08-29,course,online,16,False,767,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000009,E0057,EV_032,2024-10-07,,completed,100,,3.0,self,Sales Manager,Senior,hybrid,kk,2023-10-19,workshop,offline,8,False,354,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.6666666666666666,1,-1,completed,1
R000010,E0099,EV_029,2024-10-07,,completed,100,91.0,5.0,hr,HR Business Partner,Middle,hybrid,ru,2022-05-17,course,self_paced,12,False,874,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000011,E0131,EV_030,2024-10-07,,completed,100,,3.0,self,HR Business Partner,Middle,office,ru,2022-10-31,workshop,online,4,False,707,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000012,E0043,EV_037,2024-10-08,,completed,100,,3.0,manager,Frontend Engineer,Senior,hybrid,ru,2021-08-13,mentoring,online,12,False,1152,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.3333333333333333,1,-1,completed,1
R000013,E0071,EV_026,2024-10-08,,completed,100,,3.0,self,Product Manager,Middle,office,kk,2022-11-14,workshop,offline,8,False,694,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000014,E0154,EV_037,2024-10-08,,completed,100,,3.0,self,Frontend Engineer,Middle,office,ru,2023-08-16,mentoring,online,12,False,419,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.3333333333333333,1,-1,completed,1
R000015,E0138,EV_034,2024-10-09,,declined,0,,,manager,Sales Manager,Senior,remote,ru,2020-10-21,workshop,online,4,False,1449,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,declined,0
R000016,E0013,EV_040,2024-10-10,,completed,100,,,self,Backend Engineer,Senior,office,ru,2020-12-28,workshop,offline,4,False,1382,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
